ID,Source_IP,Destination_IP,Protocol,Timestamp,Traffic_Type,Source_Port,Destination_Port,Data_Volume,Packet_Size,HTTP_Status_Code,Firewall_Rule,VPN_Status,MFA_Status,Credential_Used,Data_Classification,Encryption_Algorithm
1,186.243.131.195,114.237.11.69,ICMP,2014-03-03 08:15:22,Inbound,2663,48599,282,541,200,Quarantine,True,Bypassed,^8qdNUkWH#Q3,Public,
2,98.236.156.236,166.65.46.165,UDP,2014-01-16 14:18:22,Inbound,15134,62732,782,729,200,Deny,True,Failed,$ef$yFBne*&6,Confidential,SHA-256
3,119.220.143.107,116.148.175.105,TCP,2020-08-12 00:39:48,Outbound,19241,29715,651,787,200,Deny,True,Bypassed,fRsC%cxlc$E4,Confidential,AES
4,24.143.58.243,187.14.202.180,TCP,2021-01-19 16:48:25,Inbound,60867,61795,581,684,200,Deny,False,Bypassed,B57+P(kZ&7nX,Highly Confidential,RSA
5,168.77.174.37,186.211.49.66,ICMP,2010-12-29 06:54:22,Inbound,52933,44597,433,1261,200,Deny,False,Bypassed,^4bk%ja1_kmU,Confidential,AES
6,51.123.241.77,44.214.219.222,ICMP,2013-08-05 08:46:06,Inbound,11040,24505,781,370,200,Quarantine,True,Bypassed,_WMMxN5G6y7O,Confidential,
7,154.232.209.159,139.70.154.126,UDP,2020-03-23 08:37:03,Outbound,64224,13881,952,1144,200,Quarantine,True,Bypassed,l#4AvfQbZwkE,Confidential,
8,118.222.179.45,27.37.186.211,TCP,2011-01-07 19:27:53,Inbound,60361,2059,881,716,200,Allow,False,Bypassed,^k$bzecGE0HV,Highly Confidential,RSA
9,182.25.13.183,114.235.38.215,ICMP,2015-11-28 18:25:28,Inbound,4996,26387,746,734,200,Allow,True,Used,v4@yWV9cl%35,Internal,
10,53.3.47.156,187.116.137.74,UDP,2010-06-30 15:25:28,Outbound,15032,56666,411,160,200,Allow,False,Failed,NxV5qDu2@+2t,Highly Confidential,SHA-256
11,153.57.245.197,80.181.235.63,ICMP,2019-07-18 13:20:56,Inbound,45274,56481,241,866,200,Quarantine,True,Bypassed,3Lo03%QkTf&q,Public,AES
12,220.64.162.175,106.189.165.97,ICMP,2021-09-24 07:47:06,Inbound,5825,35235,219,1076,200,Deny,True,Used,WQYH1LsUa!j1,Confidential,SHA-256
13,189.83.228.53,202.49.199.145,ICMP,2016-09-03 08:58:14,Outbound,14366,45056,650,580,200,Deny,True,Used,7y1z(Lq14!vo,Highly Confidential,SHA-256
14,105.10.106.91,39.0.166.31,UDP,2023-01-04 11:15:59,Inbound,29190,8353,43,671,200,Allow,False,Used,YG$vWrOnu02x,Internal,AES
15,187.157.100.216,57.2.157.219,TCP,2017-08-21 00:16:39,Outbound,15601,13080,837,982,200,Allow,True,Used,*3tkV7_bLPyl,Internal,
16,52.221.160.22,90.201.202.199,ICMP,2011-09-11 11:52:40,Outbound,23678,47746,806,682,200,Quarantine,True,Failed,)mc93^TjR+OB,Internal,SHA-256
17,92.49.67.17,223.223.156.110,UDP,2017-11-24 16:25:28,Outbound,46716,19377,568,300,200,Quarantine,False,Bypassed,B3*5Y8f*&A3_,Internal,SHA-256
18,7.18.206.138,182.25.11.130,ICMP,2014-01-15 17:47:07,Outbound,7144,53637,975,521,200,Allow,True,Used,+&Cq^A#p17EY,Public,AES
19,188.236.34.100,168.247.114.46,ICMP,2018-10-05 20:54:30,Outbound,4315,36531,256,288,200,Deny,False,Failed,tb+ZUfo5d+85,Highly Confidential,
20,61.118.82.229,57.81.213.209,ICMP,2017-02-12 05:58:01,Inbound,10092,9885,237,824,200,Quarantine,True,Used,w!8AdKih!t45,Highly Confidential,
21,192.31.50.135,154.51.135.27,ICMP,2020-07-22 15:24:06,Inbound,33020,14381,280,932,200,Deny,False,Bypassed,#3brZmD1dALx,Highly Confidential,RSA
22,14.253.55.15,94.186.215.73,TCP,2010-04-12 00:21:03,Outbound,22444,22119,780,816,200,Deny,False,Used,G61TG7Q8YrR*,Highly Confidential,AES
23,14.195.82.68,6.135.32.39,ICMP,2014-07-16 13:43:56,Inbound,31500,45841,263,795,200,Quarantine,True,Used,JGZ10%BkN*d*,Confidential,AES
24,166.114.123.22,148.190.74.159,UDP,2012-10-08 18:58:22,Outbound,5543,33159,664,738,200,Deny,False,Used,*J(xm55zJe9W,Highly Confidential,SHA-256
25,155.186.205.107,99.17.45.219,TCP,2016-11-12 05:56:58,Outbound,38369,39999,685,816,200,Deny,False,Used,kKF#1cLb(^f5,Highly Confidential,RSA
26,178.159.102.234,110.13.86.225,ICMP,2021-01-31 23:01:26,Outbound,30395,51966,18,230,200,Deny,True,Failed,!@P&dCsD)6$^,Confidential,
27,180.197.93.18,101.104.121.115,ICMP,2011-08-15 12:59:52,Outbound,19144,47487,604,1114,200,Allow,True,Failed,P_l0Ht1)@k(2,Internal,SHA-256
28,190.252.68.46,200.214.24.190,UDP,2012-12-25 04:22:05,Outbound,13106,63275,53,557,404,Deny,True,Used,GtX0RBhx*2p#,Highly Confidential,
29,221.14.249.31,65.161.150.222,UDP,2011-03-29 04:16:59,Outbound,38289,40700,62,1288,500,Allow,True,Bypassed,hZorxbK0&9S6,Internal,SHA-256
30,20.207.4.110,85.19.253.163,UDP,2018-04-12 10:42:19,Outbound,5688,45049,240,581,200,Quarantine,True,Failed,7VgSV(pQ_%9),Public,RSA
31,47.137.222.206,171.189.140.207,ICMP,2017-10-07 22:35:32,Outbound,29712,5272,613,121,200,Quarantine,False,Bypassed,XG3CTWpgu_zm,Confidential,AES
32,70.162.248.65,97.246.138.196,UDP,2011-11-06 21:08:03,Outbound,22867,21041,687,254,200,Deny,False,Bypassed,(2Q!de6j$$KW,Highly Confidential,SHA-256
33,36.131.209.217,12.24.115.94,UDP,2012-07-14 15:02:04,Outbound,42010,28970,779,145,200,Quarantine,True,Failed,!RGUVMjFUi25,Highly Confidential,
34,29.150.139.147,44.233.40.53,UDP,2021-03-17 20:13:04,Outbound,28253,54705,495,1007,200,Quarantine,True,Failed,)b7ULB0xB)2S,Internal,RSA
35,19.176.249.127,173.2.40.15,ICMP,2015-10-13 15:34:08,Outbound,30865,61136,330,426,500,Allow,False,Used,^hH9ER$i_xzj,Highly Confidential,AES
36,39.216.44.5,197.202.31.154,TCP,2020-11-26 07:10:44,Inbound,27892,57078,671,356,200,Deny,False,Bypassed,4V^3gYCbul_e,Highly Confidential,AES
37,16.235.40.231,209.203.192.158,ICMP,2016-12-12 02:50:50,Inbound,30100,10903,711,653,404,Allow,False,Used,6BFln(pm$37#,Confidential,SHA-256
38,125.104.18.62,194.110.78.167,ICMP,2017-10-21 13:56:47,Outbound,31142,16734,683,59,200,Deny,False,Bypassed,2OWdIHb3!obE,Internal,AES
39,36.228.16.79,157.122.71.47,ICMP,2015-06-11 07:56:29,Outbound,2461,64091,850,1388,200,Allow,True,Bypassed,s@3U6V&mY&A^,Highly Confidential,SHA-256
40,209.24.42.220,75.127.8.11,ICMP,2018-08-29 15:29:07,Inbound,6930,59614,303,709,200,Allow,True,Used,H+PNbQ#y%Yq7,Confidential,SHA-256
41,94.225.83.255,162.134.193.170,TCP,2012-08-21 14:24:20,Outbound,36188,8100,466,794,200,Quarantine,False,Bypassed,2G7AebKY6a$X,Highly Confidential,SHA-256
42,82.228.140.16,123.217.218.137,TCP,2018-09-01 14:27:10,Inbound,20970,65270,505,277,200,Quarantine,True,Failed,^O6fxq*aU8RD,Highly Confidential,SHA-256
43,116.44.252.249,203.109.167.155,ICMP,2020-08-15 08:44:26,Outbound,36706,59094,661,774,200,Deny,True,Used,fm5Dz%Ub%)LE,Highly Confidential,AES
44,21.219.241.133,82.79.50.61,UDP,2016-02-05 21:26:44,Inbound,9543,35404,257,397,200,Allow,True,Used,UCg&*JAv)VT9,Confidential,RSA
45,46.25.85.180,28.194.244.197,TCP,2021-05-15 23:18:31,Outbound,34043,14520,969,1299,200,Quarantine,False,Failed,k6RB0DybN)_P,Public,AES
46,64.216.133.140,167.177.21.238,ICMP,2015-12-01 20:32:13,Outbound,30758,33132,620,921,200,Quarantine,True,Bypassed,4tCuL7vQ)2yH,Internal,
47,109.198.6.237,204.186.10.25,TCP,2019-12-15 21:54:00,Inbound,29327,6329,763,803,200,Quarantine,True,Bypassed,U!fO4XbF+tSC,Confidential,AES
48,14.237.140.74,150.208.6.210,TCP,2021-08-20 21:40:10,Outbound,38648,14822,827,918,200,Quarantine,True,Bypassed,5)l!a3ZcLq7I,Confidential,AES
49,11.36.183.90,68.74.127.104,UDP,2014-01-11 13:23:06,Outbound,11339,24252,320,704,200,Quarantine,True,Used,h*5uZCgIBL&w,Internal,RSA
50,147.115.100.143,207.124.250.225,ICMP,2012-05-27 08:16:30,Outbound,35557,43722,316,133,200,Quarantine,True,Used,++)RJdfGe03x,Internal,SHA-256
51,147.207.246.172,210.180.208.188,ICMP,2019-10-28 08:58:27,Inbound,29612,1229,471,199,200,Quarantine,False,Bypassed,G(9H0Mt@1hrF,Highly Confidential,
52,16.148.22.27,99.92.126.110,UDP,2011-09-09 03:25:30,Outbound,49901,22251,227,722,200,Allow,True,Bypassed,%%lQHaW$I55!,Internal,SHA-256
53,167.15.167.144,55.55.69.204,ICMP,2011-06-29 20:52:09,Outbound,45662,60566,904,1196,200,Quarantine,False,Bypassed,Z$GO0%ImVbe$,Confidential,RSA
54,91.99.224.58,159.228.184.200,ICMP,2023-06-01 11:06:28,Inbound,41329,38934,520,827,200,Quarantine,True,Failed,D*b78*7djUA0,Internal,SHA-256
55,86.23.59.195,7.153.121.217,UDP,2015-03-24 13:44:26,Outbound,27813,50756,347,1430,200,Quarantine,False,Used,K&N9@ijvsL0&,Confidential,AES
56,97.250.99.76,129.96.91.57,UDP,2018-08-14 14:30:11,Outbound,54316,8376,687,1479,200,Quarantine,True,Bypassed,yKKMF5hkn$7^,Highly Confidential,SHA-256
57,207.70.245.223,81.133.56.244,ICMP,2013-03-26 22:30:18,Inbound,40165,24689,158,372,200,Quarantine,True,Bypassed,(2525HhbqCWl,Highly Confidential,AES
